工具編號,工具名稱,分類,狀態,當前借用人,借出日期
FAA0001,探照燈,照明工具 (F),在庫,無,無
FAA0002,工業用探照燈,照明工具 (F),在庫,無,無
FAA0003,LED投射燈,照明工具 (F),在庫,無,無
FAA0004,伸縮腳架,照明工具 (F),在庫,無,無
FAA0005,雙燈LED兼三腳架,照明工具 (F),在庫,無,無
GAA0001,驗電筆,測量工具 (G),在庫,無,無
GAA0002,高阻計,測量工具 (G),在庫,無,無
GAA0003,檢相計（相序表）,測量工具 (G),在庫,無,無
GAA0004,數位式照度計,測量工具 (G),在庫,無,無
GAA0005,雷射測距儀,測量工具 (G),在庫,無,無
GAA0006,音波測距儀,測量工具 (G),在庫,無,無
GAA0007,紅外線熱影像儀,測量工具 (G),在庫,無,無
GAA0008,牆體探測儀,測量工具 (G),在庫,無,無
GAA0009,管路尋線儀,測量工具 (G),在庫,無,無
GAA0010,金屬探測器,測量工具 (G),在庫,無,無
GAA0011,管道內視鏡,測量工具 (G),在庫,無,無
GAA0012,冷媒洩漏檢測儀,測量工具 (G),在庫,無,無
GAA0013,可燃氣體檢漏儀,測量工具 (G),在庫,無,無
GAA0014,水管測漏儀,測量工具 (G),在庫,無,無
GAA0015,聽漏儀,測量工具 (G),在庫,無,無
HAA0001,全身式安全帶,穿戴工具 (H),在庫,無,無
HAA0002,防墜器,穿戴工具 (H),在庫,無,無
HAA0003,雙大鉤安全繩,穿戴工具 (H),在庫,無,無
HAA0004,防電弧面罩,穿戴工具 (H),在庫,無,無
HAA0005,自動變光焊接面罩,穿戴工具 (H),在庫,無,無
HAA0006,防塵毒口罩,穿戴工具 (H),在庫,無,無
HAA0007,攜帶式氣體偵測器,穿戴工具 (H),在庫,無,無
HAA0008,送風式呼吸防護具,穿戴工具 (H),在庫,無,無
HAA0009,絕緣手臂套,穿戴工具 (H),在庫,無,無
HAA0010,工具吊繩,穿戴工具 (H),在庫,無,無
